# wavelength_nm  intensity
200.000000 0.009136
200.500000 0.009268
201.000000 0.009403
201.500000 0.009540
202.000000 0.009680
202.500000 0.009822
203.000000 0.009966
203.500000 0.010114
204.000000 0.010264
204.500000 0.010417
205.000000 0.010573
205.500000 0.010731
206.000000 0.010893
206.500000 0.011058
207.000000 0.011225
207.500000 0.011397
208.000000 0.011571
208.500000 0.011749
209.000000 0.011930
209.500000 0.012115
210.000000 0.012304
210.500000 0.012496
211.000000 0.012692
211.500000 0.012892
212.000000 0.013097
212.500000 0.013305
213.000000 0.013518
213.500000 0.013735
214.000000 0.013957
214.500000 0.014183
215.000000 0.014414
215.500000 0.014651
216.000000 0.014892
216.500000 0.015139
217.000000 0.015391
217.500000 0.015648
218.000000 0.015911
218.500000 0.016180
219.000000 0.016456
219.500000 0.016737
220.000000 0.017025
220.500000 0.017320
221.000000 0.017621
221.500000 0.017930
222.000000 0.018246
222.500000 0.018569
223.000000 0.018900
223.500000 0.019240
224.000000 0.019587
224.500000 0.019944
225.000000 0.020309
225.500000 0.020683
226.000000 0.021067
226.500000 0.021460
227.000000 0.021864
227.500000 0.022278
228.000000 0.022704
228.500000 0.023140
229.000000 0.023589
229.500000 0.024049
230.000000 0.024522
230.500000 0.025008
231.000000 0.025508
231.500000 0.026021
232.000000 0.026550
232.500000 0.027093
233.000000 0.027653
233.500000 0.028228
234.000000 0.028821
234.500000 0.029432
235.000000 0.030061
235.500000 0.030710
236.000000 0.031378
236.500000 0.032068
237.000000 0.032779
237.500000 0.033513
238.000000 0.034271
238.500000 0.035054
239.000000 0.035863
239.500000 0.036699
240.000000 0.037563
240.500000 0.038457
241.000000 0.039383
241.500000 0.040341
242.000000 0.041333
242.500000 0.042361
243.000000 0.043427
243.500000 0.044532
244.000000 0.045679
244.500000 0.046870
245.000000 0.048107
245.500000 0.049392
246.000000 0.050728
246.500000 0.052118
247.000000 0.053565
247.500000 0.055072
248.000000 0.056642
248.500000 0.058279
249.000000 0.059987
249.500000 0.061770
250.000000 0.063632
250.500000 0.065579
251.000000 0.067615
251.500000 0.069747
252.000000 0.071979
252.500000 0.074319
253.000000 0.076773
253.500000 0.079349
254.000000 0.082056
254.500000 0.084901
255.000000 0.087895
255.500000 0.091048
256.000000 0.094370
256.500000 0.097874
257.000000 0.101574
257.500000 0.105482
258.000000 0.109615
258.500000 0.113990
259.000000 0.118624
259.500000 0.123536
260.000000 0.128749
260.500000 0.134286
261.000000 0.140170
261.500000 0.146428
262.000000 0.153090
262.500000 0.160186
263.000000 0.167749
263.500000 0.175813
264.000000 0.184414
264.500000 0.193591
265.000000 0.203383
265.500000 0.213827
266.000000 0.224965
266.500000 0.236831
267.000000 0.249461
267.500000 0.262883
268.000000 0.277119
268.500000 0.292180
269.000000 0.308065
269.500000 0.324755
270.000000 0.342213
270.500000 0.360381
271.000000 0.379173
271.500000 0.398481
272.000000 0.418171
272.500000 0.438089
273.000000 0.458064
273.500000 0.477914
274.000000 0.497462
274.500000 0.516538
275.000000 0.534999
275.500000 0.552730
276.000000 0.569661
276.500000 0.585766
277.000000 0.601066
277.500000 0.615618
278.000000 0.629510
278.500000 0.642844
279.000000 0.655712
279.500000 0.668185
280.000000 0.680287
280.500000 0.691986
281.000000 0.703180
281.500000 0.713702
282.000000 0.723318
282.500000 0.731745
283.000000 0.738668
283.500000 0.743770
284.000000 0.746755
284.500000 0.747381
285.000000 0.745477
285.500000 0.740969
286.000000 0.733877
286.500000 0.724322
287.000000 0.712507
287.500000 0.698705
288.000000 0.683234
288.500000 0.666432
289.000000 0.648641
289.500000 0.630188
290.000000 0.611370
290.500000 0.592450
291.000000 0.573651
291.500000 0.555159
292.000000 0.537122
292.500000 0.519658
293.000000 0.502855
293.500000 0.486782
294.000000 0.471484
294.500000 0.456996
295.000000 0.443338
295.500000 0.430524
296.000000 0.418559
296.500000 0.407442
297.000000 0.397168
297.500000 0.387730
298.000000 0.379115
298.500000 0.371309
299.000000 0.364295
299.500000 0.358052
300.000000 0.352558
300.500000 0.347788
301.000000 0.343713
301.500000 0.340303
302.000000 0.337522
302.500000 0.335334
303.000000 0.333697
303.500000 0.332567
304.000000 0.331894
304.500000 0.331625
305.000000 0.331705
305.500000 0.332072
306.000000 0.332663
306.500000 0.333413
307.000000 0.334255
307.500000 0.335121
308.000000 0.335948
308.500000 0.336673
309.000000 0.337239
309.500000 0.337596
310.000000 0.337703
310.500000 0.337528
311.000000 0.337049
311.500000 0.336257
312.000000 0.335153
312.500000 0.333752
313.000000 0.332075
313.500000 0.330154
314.000000 0.328029
314.500000 0.325741
315.000000 0.323340
315.500000 0.320874
316.000000 0.318391
316.500000 0.315938
317.000000 0.313559
317.500000 0.311294
318.000000 0.309178
318.500000 0.307242
319.000000 0.305510
319.500000 0.303998
320.000000 0.302720
320.500000 0.301679
321.000000 0.300874
321.500000 0.300296
322.000000 0.299930
322.500000 0.299755
323.000000 0.299743
323.500000 0.299864
324.000000 0.300079
324.500000 0.300349
325.000000 0.300632
325.500000 0.300884
326.000000 0.301063
326.500000 0.301128
327.000000 0.301042
327.500000 0.300773
328.000000 0.300297
328.500000 0.299596
329.000000 0.298660
329.500000 0.297488
330.000000 0.296086
330.500000 0.294470
331.000000 0.292660
331.500000 0.290683
332.000000 0.288570
332.500000 0.286354
333.000000 0.284070
333.500000 0.281753
334.000000 0.279439
334.500000 0.277159
335.000000 0.274944
335.500000 0.272823
336.000000 0.270820
336.500000 0.268957
337.000000 0.267253
337.500000 0.265725
338.000000 0.264386
338.500000 0.263249
339.000000 0.262321
339.500000 0.261613
340.000000 0.261129
340.500000 0.260875
341.000000 0.260856
341.500000 0.261076
342.000000 0.261536
342.500000 0.262241
343.000000 0.263193
343.500000 0.264394
344.000000 0.265845
344.500000 0.267551
345.000000 0.269512
345.500000 0.271731
346.000000 0.274212
346.500000 0.276957
347.000000 0.279969
347.500000 0.283252
348.000000 0.286811
348.500000 0.290648
349.000000 0.294770
349.500000 0.299182
350.000000 0.303889
350.500000 0.308896
351.000000 0.314212
351.500000 0.319842
352.000000 0.325794
352.500000 0.332075
353.000000 0.338693
353.500000 0.345657
354.000000 0.352975
354.500000 0.360654
355.000000 0.368704
355.500000 0.377133
356.000000 0.385948
356.500000 0.395158
357.000000 0.404770
357.500000 0.414789
358.000000 0.425222
358.500000 0.436072
359.000000 0.447342
359.500000 0.459034
360.000000 0.471147
360.500000 0.483677
361.000000 0.496618
361.500000 0.509963
362.000000 0.523698
362.500000 0.537808
363.000000 0.552274
363.500000 0.567072
364.000000 0.582172
364.500000 0.597544
365.000000 0.613148
365.500000 0.628943
366.000000 0.644882
366.500000 0.660913
367.000000 0.676983
367.500000 0.693032
368.000000 0.709001
368.500000 0.724827
369.000000 0.740447
369.500000 0.755800
370.000000 0.770823
370.500000 0.785459
371.000000 0.799655
371.500000 0.813360
372.000000 0.826532
372.500000 0.839135
373.000000 0.851138
373.500000 0.862522
374.000000 0.873271
374.500000 0.883378
375.000000 0.892845
375.500000 0.901677
376.000000 0.909888
376.500000 0.917495
377.000000 0.924518
377.500000 0.930983
378.000000 0.936917
378.500000 0.942346
379.000000 0.947301
379.500000 0.951811
380.000000 0.955905
380.500000 0.959612
381.000000 0.962960
381.500000 0.965976
382.000000 0.968685
382.500000 0.971114
383.000000 0.973284
383.500000 0.975220
384.000000 0.976942
384.500000 0.978469
385.000000 0.979820
385.500000 0.981012
386.000000 0.982060
386.500000 0.982977
387.000000 0.983776
387.500000 0.984466
388.000000 0.985055
388.500000 0.985549
389.000000 0.985954
389.500000 0.986270
390.000000 0.986500
390.500000 0.986641
391.000000 0.986691
391.500000 0.986645
392.000000 0.986499
392.500000 0.986246
