# wavelength_nm  intensity
200.000000 0.009135
200.500000 0.009268
201.000000 0.009402
201.500000 0.009539
202.000000 0.009679
202.500000 0.009821
203.000000 0.009966
203.500000 0.010113
204.000000 0.010263
204.500000 0.010416
205.000000 0.010572
205.500000 0.010731
206.000000 0.010892
206.500000 0.011057
207.000000 0.011225
207.500000 0.011396
208.000000 0.011570
208.500000 0.011748
209.000000 0.011929
209.500000 0.012114
210.000000 0.012303
210.500000 0.012495
211.000000 0.012691
211.500000 0.012891
212.000000 0.013096
212.500000 0.013304
213.000000 0.013517
213.500000 0.013734
214.000000 0.013956
214.500000 0.014182
215.000000 0.014414
215.500000 0.014650
216.000000 0.014891
216.500000 0.015138
217.000000 0.015390
217.500000 0.015647
218.000000 0.015910
218.500000 0.016179
219.000000 0.016455
219.500000 0.016736
220.000000 0.017024
220.500000 0.017319
221.000000 0.017620
221.500000 0.017929
222.000000 0.018245
222.500000 0.018568
223.000000 0.018899
223.500000 0.019238
224.000000 0.019586
224.500000 0.019942
225.000000 0.020307
225.500000 0.020682
226.000000 0.021065
226.500000 0.021459
227.000000 0.021863
227.500000 0.022277
228.000000 0.022702
228.500000 0.023139
229.000000 0.023587
229.500000 0.024047
230.000000 0.024520
230.500000 0.025006
231.000000 0.025506
231.500000 0.026020
232.000000 0.026548
232.500000 0.027092
233.000000 0.027651
233.500000 0.028227
234.000000 0.028819
234.500000 0.029430
235.000000 0.030059
235.500000 0.030708
236.000000 0.031376
236.500000 0.032066
237.000000 0.032777
237.500000 0.033511
238.000000 0.034269
238.500000 0.035052
239.000000 0.035860
239.500000 0.036696
240.000000 0.037561
240.500000 0.038455
241.000000 0.039380
241.500000 0.040338
242.000000 0.041330
242.500000 0.042358
243.000000 0.043424
243.500000 0.044529
244.000000 0.045676
244.500000 0.046867
245.000000 0.048104
245.500000 0.049389
246.000000 0.050725
246.500000 0.052115
247.000000 0.053562
247.500000 0.055068
248.000000 0.056639
248.500000 0.058276
249.000000 0.059983
249.500000 0.061766
250.000000 0.063629
250.500000 0.065575
251.000000 0.067612
251.500000 0.069743
252.000000 0.071975
252.500000 0.074315
253.000000 0.076769
253.500000 0.079345
254.000000 0.082052
254.500000 0.084897
255.000000 0.087891
255.500000 0.091043
256.000000 0.094365
256.500000 0.097870
257.000000 0.101569
257.500000 0.105477
258.000000 0.109610
258.500000 0.113985
259.000000 0.118619
259.500000 0.123531
260.000000 0.128744
260.500000 0.134280
261.000000 0.140165
261.500000 0.146423
262.000000 0.153085
262.500000 0.160181
263.000000 0.167744
263.500000 0.175808
264.000000 0.184409
264.500000 0.193586
265.000000 0.203378
265.500000 0.213823
266.000000 0.224960
266.500000 0.236827
267.000000 0.249457
267.500000 0.262879
268.000000 0.277115
268.500000 0.292176
269.000000 0.308061
269.500000 0.324752
270.000000 0.342210
270.500000 0.360378
271.000000 0.379170
271.500000 0.398478
272.000000 0.418168
272.500000 0.438086
273.000000 0.458060
273.500000 0.477909
274.000000 0.497456
274.500000 0.516530
275.000000 0.534988
275.500000 0.552717
